Date,Close
2010-01-04T16:00:00Z,17.93
2010-01-05T16:00:00Z,17.68
2010-01-06T16:00:00Z,17.62
2010-01-07T16:00:00Z,17.55
2010-01-08T16:00:00Z,17.7
2010-01-11T16:00:00Z,17.84
2010-01-12T16:00:00Z,17.78
2010-01-13T16:00:00Z,18.2
2010-01-14T16:00:00Z,18.36
2010-01-15T16:00:00Z,18.46
2010-01-19T16:00:00Z,18.95
2010-01-20T16:00:00Z,18.89
2010-01-21T16:00:00Z,18.23
2010-01-22T16:00:00Z,17.96
2010-01-25T16:00:00Z,17.86
2010-01-26T16:00:00Z,17.79
2010-01-27T16:00:00Z,18
2010-01-28T16:00:00Z,17.65
2010-01-29T16:00:00Z,17.68
2010-02-01T16:00:00Z,17.8
2010-02-02T16:00:00Z,18.23
2010-02-03T16:00:00Z,17.64
2010-02-04T16:00:00Z,17.08
2010-02-05T16:00:00Z,17.01
2010-02-08T16:00:00Z,16.9
2010-02-09T16:00:00Z,16.94
2010-02-10T16:00:00Z,16.81
2010-02-11T16:00:00Z,16.93
2010-02-12T16:00:00Z,16.86
2010-02-16T16:00:00Z,16.79
2010-02-17T16:00:00Z,16.74
2010-02-18T16:00:00Z,16.8
2010-02-19T16:00:00Z,17.04
2010-02-22T16:00:00Z,17
2010-02-23T16:00:00Z,16.74
2010-02-24T16:00:00Z,16.87
2010-02-25T16:00:00Z,16.76
2010-02-26T16:00:00Z,16.63
2010-03-01T16:00:00Z,16.82
2010-03-02T16:00:00Z,16.67
2010-03-03T16:00:00Z,16.41
2010-03-04T16:00:00Z,16.42
2010-03-05T16:00:00Z,16.56
2010-03-08T16:00:00Z,16.44
2010-03-09T16:00:00Z,16.32
2010-03-10T16:00:00Z,16.25
2010-03-11T16:00:00Z,16.38
2010-03-12T16:00:00Z,16.18
2010-03-15T16:00:00Z,16.35
2010-03-16T16:00:00Z,16.35
2010-03-17T16:00:00Z,16.3
2010-03-18T16:00:00Z,16.32
2010-03-19T16:00:00Z,16.02
2010-03-22T16:00:00Z,16.25
2010-03-23T16:00:00Z,16.62
2010-03-24T16:00:00Z,16.68
2010-03-25T16:00:00Z,16.47
2010-03-26T16:00:00Z,16.24
2010-03-29T16:00:00Z,16.37
2010-03-30T16:00:00Z,16.35
2010-03-31T16:00:00Z,16.25
2010-04-01T16:00:00Z,16.18
2010-04-05T16:00:00Z,16.01
2010-04-06T16:00:00Z,16.07
2010-04-07T16:00:00Z,16.17
2010-04-08T16:00:00Z,16.24
2010-04-09T16:00:00Z,16.34
2010-04-12T16:00:00Z,16.38
2010-04-13T16:00:00Z,16.28
2010-04-14T16:00:00Z,16.17
2010-04-15T16:00:00Z,16.1
2010-04-16T16:00:00Z,15.92
2010-04-19T16:00:00Z,15.91
2010-04-20T16:00:00Z,15.88
2010-04-21T16:00:00Z,15.73
2010-04-22T16:00:00Z,15.61
2010-04-23T16:00:00Z,16.02
2010-04-26T16:00:00Z,15.93
2010-04-27T16:00:00Z,15.59
2010-04-28T16:00:00Z,15.66
2010-04-29T16:00:00Z,15.97
2010-04-30T16:00:00Z,15.84
2010-05-03T16:00:00Z,16.02
2010-05-04T16:00:00Z,16.35
2010-05-05T16:00:00Z,16.28
2010-05-06T16:00:00Z,15.86
2010-05-07T16:00:00Z,15.59
2010-05-10T16:00:00Z,16.1
2010-05-11T16:00:00Z,16.11
2010-05-12T16:00:00Z,16.01
2010-05-13T16:00:00Z,15.69
2010-05-14T16:00:00Z,15.35
2010-05-17T16:00:00Z,15.26
2010-05-18T16:00:00Z,14.98
2010-05-19T16:00:00Z,14.99
2010-05-20T16:00:00Z,14.43
2010-05-21T16:00:00Z,14.59
2010-05-24T16:00:00Z,14.42
2010-05-25T16:00:00Z,14.27
2010-05-26T16:00:00Z,14.31
2010-05-27T16:00:00Z,14.56
2010-05-28T16:00:00Z,14.43
2010-06-01T16:00:00Z,14.2
2010-06-02T16:00:00Z,14.4
2010-06-03T16:00:00Z,14.43
2010-06-04T16:00:00Z,13.98
2010-06-07T16:00:00Z,13.76
2010-06-08T16:00:00Z,13.78
2010-06-09T16:00:00Z,13.76
2010-06-10T16:00:00Z,14.12
2010-06-11T16:00:00Z,14.65
2010-06-14T16:00:00Z,14.52
2010-06-15T16:00:00Z,14.7
2010-06-16T16:00:00Z,14.66
2010-06-17T16:00:00Z,14.66
2010-06-18T16:00:00Z,14.41
2010-06-21T16:00:00Z,14.3
2010-06-22T16:00:00Z,14.18
2010-06-23T16:00:00Z,14.1
2010-06-24T16:00:00Z,13.7
2010-06-25T16:00:00Z,13.87
2010-06-28T16:00:00Z,13.77
2010-06-29T16:00:00Z,13.53
2010-06-30T16:00:00Z,13.51
2010-07-01T16:00:00Z,13.48
2010-07-02T16:00:00Z,13.4
2010-07-06T16:00:00Z,13.54
2010-07-07T16:00:00Z,13.85
2010-07-08T16:00:00Z,14.04
2010-07-09T16:00:00Z,13.99
2010-07-12T16:00:00Z,14.14
2010-07-13T16:00:00Z,14.01
2010-07-14T16:00:00Z,14.06
